# DGP instance generated by rndgraph.run
param Kdim := 3;
param n := 50;
param : E : c I :=
 1 2  0.41210 1
 2 3  0.42439 1
 3 4  0.06120 1
 4 5  0.31515 1
 5 6  0.77625 1
 6 7  0.16305 1
 7 8  0.19786 1
 8 9  0.35044 1
 9 10  0.17059 1
 10 11  0.57410 1
 11 12  0.40674 1
 12 13  0.49891 1
 13 14  0.06829 1
 14 15  0.01542 1
 15 16  0.25573 1
 16 17  0.24133 1
 17 18  0.89010 1
 18 19  0.46726 1
 19 20  0.05303 1
 20 21  0.75745 1
 21 22  0.07965 1
 22 23  0.69817 1
 23 24  0.12696 1
 24 25  0.90441 1
 25 26  0.08383 1
 26 27  0.98153 1
 27 28  0.99875 1
 28 29  0.76807 1
 29 30  0.88434 1
 30 31  0.03211 1
 31 32  0.53094 1
 32 33  0.49970 1
 33 34  0.18660 1
 34 35  0.11138 1
 35 36  0.96618 1
 36 37  0.71563 1
 37 38  0.63808 1
 38 39  0.75325 1
 39 40  0.03494 1
 40 41  0.91468 1
 41 42  0.98920 1
 42 43  0.03629 1
 43 44  0.79948 1
 44 45  0.80292 1
 45 46  0.80282 1
 46 47  0.83572 1
 47 48  0.59187 1
 48 49  0.81821 1
 49 50  0.10312 1
 1 50  0.62845 1
 1 18  0.13032 1
 1 25  0.37803 1
 1 28  0.40072 1
 1 31  0.73025 1
 1 42  0.20072 1
 2 4  0.59528 1
 2 15  0.92314 1
 2 22  0.57964 1
 2 24  0.75406 1
 2 26  0.30268 1
 2 29  0.58467 1
 2 33  0.59563 1
 3 8  0.49462 1
 3 9  0.30157 1
 3 22  0.96046 1
 3 31  0.21304 1
 3 33  0.45997 1
 3 37  0.18501 1
 3 42  0.76009 1
 4 9  0.13679 1
 4 31  0.62973 1
 4 33  0.58355 1
 4 41  0.46382 1
 4 46  0.72020 1
 4 47  0.75666 1
 4 49  0.63933 1
 5 30  0.79971 1
 5 38  0.81643 1
 5 39  0.02867 1
 5 40  0.00601 1
 6 18  0.51236 1
 6 40  0.59407 1
 7 17  0.66226 1
 7 23  0.87587 1
 7 26  0.47032 1
 7 28  0.70569 1
 7 38  0.24997 1
 8 24  0.68169 1
 8 30  0.52191 1
 8 40  0.14416 1
 8 44  0.96232 1
 9 21  0.61030 1
 9 26  0.88415 1
 9 36  0.46386 1
 10 27  0.72205 1
 10 29  0.28140 1
 10 34  0.46674 1
 10 42  0.38327 1
 10 44  0.06674 1
 10 48  0.03086 1
 11 21  0.47334 1
 11 24  0.59826 1
 11 26  0.19389 1
 11 30  0.99709 1
 12 29  0.98256 1
 12 32  0.90657 1
 12 33  0.12805 1
 12 37  0.51404 1
 12 43  0.90001 1
 13 28  0.77999 1
 13 36  0.85767 1
 13 39  0.21039 1
 13 46  0.64020 1
 13 50  0.22681 1
 14 29  0.20342 1
 15 26  0.80278 1
 15 27  0.42954 1
 15 29  0.85295 1
 15 40  0.72513 1
 16 20  0.58793 1
 16 39  0.89967 1
 17 38  0.87352 1
 18 23  0.00106 1
 18 34  0.89632 1
 18 46  0.40684 1
 19 47  0.18071 1
 19 49  0.67472 1
 20 25  0.22707 1
 20 33  0.62837 1
 20 44  0.69012 1
 21 26  0.42056 1
 21 36  0.32810 1
 21 40  0.89047 1
 22 48  0.22051 1
 23 30  0.93394 1
 24 27  0.73638 1
 24 29  0.26306 1
 24 38  0.96357 1
 24 43  0.05493 1
 24 44  0.82972 1
 24 46  0.84329 1
 25 32  0.55151 1
 25 38  0.65018 1
 25 45  0.58030 1
 25 50  0.47927 1
 26 41  0.96924 1
 26 47  0.92412 1
 27 32  0.50384 1
 28 32  0.77448 1
 29 41  0.93844 1
 29 50  0.89827 1
 30 36  0.42809 1
 30 42  0.85307 1
 30 44  0.78224 1
 30 45  0.84899 1
 30 48  0.74319 1
 30 50  0.40761 1
 31 35  0.48845 1
 31 37  0.15208 1
 31 41  0.17785 1
 31 48  0.86089 1
 32 47  0.29510 1
 32 49  0.15966 1
 33 42  0.47725 1
 33 48  0.82322 1
 34 46  0.40434 1
 35 41  0.47195 1
 38 50  0.20406 1
 39 42  0.89222 1
 39 44  0.66189 1
 39 46  0.55188 1
 40 43  0.82469 1
 41 44  0.40698 1
 44 46  0.60255 1
 45 50  0.18678 1
;
